Disease,Feature,Description
Wilt,Symptoms,"Yellowing and browning of cotyledons followed by browning on the petiole.
Loss of turgidity, yellowing, drooping and wilting of leaves.
Browning or blackening of vascular tissues.
Infected plants appear stunted with fewer bolls.
fungus affects the roots, root will turn into brown initially and then to red colour and finally to black colour
Wilt affected plants unable to take water and nutrients from the soil
tunts and causes continuous root staining 
marginal leaf chlorosis in bottom leaves "
Wilt,Favorable_Conditions,"Soil temperature of 20-30 0C .
Hot and dry periods followed by rains .
Heavy black soils with an alkaline reactio.
Increased dose of nitrogen and phosphatic fertilizers .
Wounds caused by nematode (Meloidogyne incognita) and grubs of Ash weevil (Myllocerus pustulatus)
fungus spreads faster when the soil moisture is high.
Fungus can survive in soil, in plant debris, and in infected seed beneath the seed coat, even after acid delinted and treated with fungicide seed treatments 
nitrogen fertilizers, particularly ammonium, tend to increase wilt incidence
""High soil inoculum density and warm conditions between 30 and 32 C enhance the disease"" 
most severe under hot dry conditions 
disease is favored by sandy soils of pH 5- 6.5 and more prevalent on clay soils"
Wilt,Physical_measures,"Remove and burn the infected plant debris in the soil after deep summer ploughing.
Follow mixed cropping with non-host plants to reduce the soil temperature below 200C by providing shade.
severely wilt affected plants must be uprooted and destroyed in a fire."
Wilt,Biological_measures,"Apply farm yard manure or other organic manures (dosage: 4 ton/acre)
""Trichoderma asperellum : Biocontrol Agent: It suppresses the growth of plant pathogens such as Fusarium,"" (dosage: 1 kg/ acre, twice in the soil during sowing and 90 DAS ) 
T. asperellum : A fungus acts as a Biocontrol agent (dosage: 1 kg/ 100kg of manure for 15 days )
Increase in soil temperature (Soil solarization) decreases the incidence of  wilt 
""planting barley, maize, mustard and clover"""
Wilt,Fungicides,"Carbendazim 50%WP (dosage: 1gram/ Litre of water) 
Copper Oxychloride (dosage: 3gram/Litre repeated 2 to 3 times at an interval of 4-5 days)
Ridomil MZ (dosage: 2gram/Litre repeated 2 to 3 times at an interval of 4-5 days)
Carbendazim (dosage: 1gram/Litre repeated 2 to 3 times at an interval of 4-5 days)
Sprint or Saaf (dosage: 250-500 gram mixed in 30 Kg Urea can be applied at 5cm from plant)
Urea (dosage: 20gram/Litre of water)
soluble fertilizers like 19:19:19 (NPK) (dosage: 10 gram per litre water sprayed twice at 5 days interval)
a mixture of chloropicrin and methyl bromide 
Katyayani COC 50 | Copper Oxychloride 50% WP (dosage :1kg/acre)
Apply increased doses of potash with a balanced dose of nitrogenous and phosphatic fertilizers.
Spot drench with Carbendazim  (dosage: 1gram/Litre of water)"
Wilt,Preventive_measures,"Treat the acid-delinted seeds with Chlorothalonil  (dosage: 4 g/kg of seed)
Seed treatment with Bacillus subtilis (dosage: 10g/kg) or Trichoderma asperellum (dosage: 4 g/kg).
Do not plant seed produced in infested fields 
Use a pressure washer and a detergent soap, chlorine, or quaternary ammonia product when possible to increase spore kill 
Do not apply gin trash from infested fields 
Do not allow livestock from infested areas into uninfested fields.
Grow disease resistant varieties "
,,
Bacterial Blight,Symptoms,"water-soaked lesions on leaves, which later turn brown and develop a characteristic angular shape 
the lesions may expand, coalesce, and lead to defoliation 
spots are restricted by veins and veinlets and will appear on both sides.
spots appear on the upper side of the leaves, they will be seen encircled by a yellow halo 
spots will turn red and spread from the leaves to the veins or veinlets "
Bacterial Blight,Favorable_Conditions,"caused by the bacterium Xanthomonas citri subsp. malvacearum, which thrives in warm and humid conditions 
bacterium can live on infected, dried plant debris in the soil for several years. 
carried by seeds, remaining as a slimy mass on the seed coat fuzz 
the bacterium spreads through wind, rain splash, irrigation water, insects and farming tools 
incidence is high if the optimum soil temperature is around 28˚C 
High temperatures ranging from 30-40˚C plays a major role 
Relative Humidity: 85% is ideal for the disease to develop. 
Rain followed by bright sunshine during October and November significantly increases the risk. 
Potassium Deficiency: Low potassium levels in the soil can weaken plant resistance. 
Late Irrigation: Delaying watering can stress plants, making them more susceptible. 
Poor Tillage: Inefficient soil preparation can develop disease as infected plant debris should be removed and destroyed. 
Rainfall after Planting: Rain shortly after planting can lead to a rapid increase and spread of the bacteria."
Bacterial Blight,Physical_measures,"Remove or destroy infected plant debries 
Rogue out the vounteer cotton plant and host weed "
Bacterial Blight,Biological,"Seaweed Extracts: These can boost plant immunity and help them resist bacterial infections 
Mulching: Mulching can prevent the spread of soil-borne bacteria to the leaves 
V-Cure Fungicide Plus Bactericide "
Bacterial Blight,Bactericides,"Streptomycin  
Kasugamycin "
Bacterial Blight,Pesticides,"Spray Streptomycin sulphate + Tetracycline combination 300 g + Copper oxychloride (dosage: 1.25kg/ha  and repeat 15 days later) 
bleaching powde in irrigation water (dosage: 5 kg/ha) 
Crystocycline: Contains a combination of Streptomycin and Tetracycline 
Dhanuka Kasu B Fungicide: Contains Kasugamycin 
Aries Agro Plantomycin: A fungicide 
Conika: A combination fungicide and bactericide containing Kasugamycin and Copper oxychloride 
JU Strepto Plus: A bactericide containing Streptomycin sulfate 
a mixture of streptocyclin (Streptomycin Sulphate 90% + Tetracyclin Hydrocloride 10% SP (dosage: repeated at 10-15 days intervals ) "
Bacterial Blight,Preventive_measures,"Planting resistant cotton varieties 
Practicing crop rotation can help break the disease cycle 
Maintaining proper irrigation practices 
Delinting with Sulphuric Acid: Use concentrated sulphuric acid at 100 ml/kg of seed to delint the cotton seeds. 
carboxin or oxycarboxin at 2g/kg 
soak the seeds in 1000 ppm Streptomycin Sulphate 
Soak seeds in 40-50 ppm streptomycin solution before sowing.
Seed treatment with Carboxin 37.5% + Thiram 37.5% DS @ 3.5 g/kg of seeds 
Mix seeds with 0.2% Pseudomonas fluorescens WP, coat uniformly, shade dry, and sow."
,,
Herbicide Growth Damage,Symptoms,"young, growing leaves develop folding, bending or twisting of leaf blades 
leaf deformation, the leaf veins appear to run parallel rather than netted 
Leaf color changes from yellow to white and brown. 
Blisters develop on the leaf surface, giving them the appearance of 'strapping' or 'witches hands' 
stunted growth, yellowing leaves 
lime or light green coloration, and red leaf veins. "
Herbicide Growth Damage,Favorable_Conditions,"Cotton plants are extremely sensitive to 2,4-D or dicamba, which are used to control broadleaf weed species 
Unsuitable timing, selection of the wrong formulation 
adverse weather conditions 
contamination caused from neighboring fields 
Water Stressed plants are more susceptible "
Herbicide Growth Damage,Physical_measures,"Always consider an integrated approach with preventive measures and biological treatments 
Before planning a herbicide spray, be sure that you know the type of weed you are dealing with (basically broadleaf weeds vs grasses) 
Washing foliage with water soon after exposure can help dilute and remove the herbicide 
Shallow planting depth increases herbicide injury potential. 
Plant high vigor seed into moist soil 
Apply proper PRE residual herbicides within 24 hr of planting. 
If feasible, irrigate between 30 hr after planting and prior to 24 hr before emergence 
limit irrigation events during the first two weeks after planting "
Herbicide Growth Damage,Hebicides,"Fomesafen (very effective in water against weeds but not beneficial for cottonseed)
Diuron (used as a desiccant to prepare cotton for harvest; can cause injury if applied during heavy rain)
Fluridone (poses minimal damage potential to cotton but may not control weeds effectively)
Microencapsulated acetochlor (if encapsulation breaks down, it can cause significant injury to cotton)"
Herbicide Growth Damage,Preventive_measures,"Timing: Apply herbicides as directed on the label, typically before cotton emergence.  
Avoid Over-Irrigation: Limit irrigation events during the first two weeks after planting to avoid activating residual herbicides.  
Soil Amendments: Consider using carbon-rich soil additives like activated charcoal or biochar 
Early Intervention: Addressing herbicide damage early can help minimize its impact on the crop 
Herbicide-Tolerant Varieties like Roundup Ready or Liberty Link. 
Avoid spraying in windy conditions to prevent drift to other fields. 
Use drift reducing spray nozzles that target the intended weeds better. 
Try and test the herbicide in pastures and hayfields to monitor results. "
,,
Leaf Hopper Jassids,Symptoms,"The tender leaves become yellowish and their margins will curl downwards 
Severe infestation leads to reddening of the leaves or becoming bronze coloured
curled leaf margins will be crumbled and broken, leaving the leaves dry
leaves turn yellowish, then brownish starting from the margins
leaves may show higher trichome density on the lower side of leaves
Boll damage: Rarely, heavy infestations can cause squares and small bolls to shed, or larger bolls to become soft and spongy
Stunted growth: In severe cases, leafhopper feeding can stunt plant growth and reduce yield
Honeydew: Leafhoppers excrete a sticky substance called honeydew, which can attract ants and other insects. You might see shiny droplets on leaves or stems.
Both nymphs and adults suck the sap from the under surface of leaves
infestation leaves get a bronze or brick red colour
Green, 3-4 mm large leafhoppers"
Leaf Hopper Jassids,Favorable_Conditions,"moderate to high temperatures (21 to 31 ˚C)
moderate to high humidity ranges (55 to 85%)"
Leaf Hopper Jassids,Physical_measures,"Setup light trap to monitor the broods of leaf hopper and to attract and kill. 
Hand-pick and remove eggs or infected plant parts 
use yellow sticky traps that are very attractive to green leafhoppers
promote a good environment for beneficial insects such as ladybugs and lacewing"
Leaf Hopper Jassids,Biological,"Spinosad – fermented soil actinomycete bacteria {active ingredients: Spinosyn A and Spinosyn D} (dosage: 0.35 ml/L on infected area)
Release predators such as Chrysopa carnea (green lacewing)
Neem Seed Kernel Extract 5% (50 g ground neem seed kernels per liter of water; dosage: 25 kg/hectare)
Aqueous neem seed extract (dosage: 10 g/L sprayed at 10-day intervals)
Insecticidal soaps
Metarhizium anisopliae (Green Muscardine)
Beauveria bassiana (Green Mold)
Paecilomyces fumosoroseus (Violet Mold)
Bacillus thuringiensis var. kurstaki (dosage: as garden dust)
Larvae of ladybird beetles and lacewings, spiders
Anagrus atomus (fairyfly or leafhopper egg parasitoid)
Azadirachtin 0.03% WSP (dosage: 2500–5000 g/ml of formulation diluted in 500–1000 liters of water per hectare; waiting period: 7 days before harvest)"
